Costa  Caramel Latte Cooler Full Fat ,,Costa,Beverages,Small,,184,4.5,4.1,32.5,32,,2.5,,,,,
Costa  Caramel Latte Cooler Full Fat ,,Costa,Beverages,Medium,,254,5.5,4.9,47.2,46.3,,2.9,,,,,
Costa  Caramel Latte Cooler Full Fat ,,Costa,Beverages,Large,,326,6.7,5.8,61.9,60.8,,3.4,,,,,
Costa  Caramel Latte Cooler Skimmed ,,Costa,Beverages,Small,,156,4.5,0.8,32.8,32.3,,0.4,,,,,
Costa  Caramel Latte Cooler Skimmed ,,Costa,Beverages,Medium,,223,5.6,1.2,47.5,46.6,,0.6,,,,,
Costa  Caramel Latte Cooler Skimmed ,,Costa,Beverages,Large,,290,6.8,1.6,62.3,61.2,,0.7,,,,,
Costa  Caramel Latte Cooler Soya ,,Costa,Beverages,Medium,,233,5.5,3.1,45.4,44.4,,0.8,,,,,
Costa  Caramel Latte Cooler Soya ,,Costa,Beverages,Large,,302,6.7,3.7,59.9,58.7,,1,,,,,
Costa  Caramel Latte Full Fat ,,Costa,Beverages,Small,,154,6.4,6.9,16.9,16.7,,4.3,,,,,
Costa  Caramel Latte Full Fat ,,Costa,Beverages,Medium,,239,10,10.7,26,25.6,,6.7,,,,,
Costa  Caramel Latte Full Fat ,,Costa,Beverages,Large,,310,12.9,13.8,34,33.5,,8.6,,,,,
Costa  Caramel Latte Skimmed ,,Costa,Beverages,Small,,98,6.6,0.3,17.5,17.2,,0.2,,,,,
Costa  Caramel Latte Skimmed ,,Costa,Beverages,Medium,,152,10.3,0.5,26.9,26.4,,0.3,,,,,
Costa  Caramel Latte Skimmed ,,Costa,Beverages,Large,,198,13.3,0.6,35.2,34.6,,0.4,,,,,
Costa  Caramel Latte Soya ,,Costa,Beverages,Small,,117,6.4,3.7,13.7,13.3,,0.6,,,,,
Costa  Caramel Latte Soya ,,Costa,Beverages,Medium,,181,10,5.7,21,20.3,,0.9,,,,,
Costa  Caramel Latte Soya ,,Costa,Beverages,Large,,235,12.9,7.4,27.6,26.7,,1.1,,,,,
Pizza hut  Caribbean Choco Shake,,Pizza hut,Beverages,1 serving,275,275,3.88,7.37,48.13,28.24,,5.58,,0.06,,,
Costa  Chai Latte Full Fat ,,Costa,Beverages,Small,,267,6.9,7.3,43.5,31.9,,4.6,,,,,
Costa  Chai Latte Full Fat ,,Costa,Beverages,Medium,,422,11.4,12.2,66.7,49.3,,7.7,,,,,
Costa  Chai Latte Full Fat ,,Costa,Beverages,Large,,667,17.2,18.3,108.6,79.7,,11.6,,,,,
Costa  Chai Latte Skimmed ,,Costa,Beverages,Small,,207,7.1,0.3,44.1,32.5,,0.2,,,,,
Costa  Chai Latte Skimmed ,,Costa,Beverages,Medium,,322,11.8,0.5,67.7,50.3,,0.4,,,,,
Costa  Chai Latte Skimmed ,,Costa,Beverages,Large,,517,17.7,0.8,110.1,81.2,,0.6,,,,,
Costa  Chai Latte Soya ,,Costa,Beverages,Small,,227,6.9,3.9,40.1,28.3,,0.6,,,,,
Costa  Chai Latte Soya ,,Costa,Beverages,Medium,,355,11.4,6.5,61.1,43.4,,1.1,,,,,
Costa  Chai Latte Soya ,,Costa,Beverages,Large,,567,17.2,9.8,100.1,70.7,,1.6,,,,,
Lehar  Chatpata Mix,Indian namkeen,Lehar,Branded,100 g ,100,560,11,36,48,2.7,,,,700,,,
Lehar  Chatpateet Chatka,Indian namkeen,Lehar,Branded,100 g ,100,535,7.5,32,54.8,2.1,,,,654,,,
Starbucks  Cheese & Fruit Bistro Box,,Starbucks,Branded,1 serving,,470,17,28,42,,7,,,,,,
Cheetos  Cheese Balls,Indian namkeen,Cheetos,Branded,100 g ,100,471,8.1,17.4,71,2.4,,,,495,,,
Cheetos  Cheese Puffs,Indian namkeen,Cheetos,Branded,100 g ,100,513,7.7,28,57.5,5.4,,,,770,,,
McDonalds  Cheese Slice,,McDonalds,Branded,1 serving,14,51,3,4,,0,0,2.7,,220,,,
Papa Johns  Cheese Thin Crust Pizza,,Papa Johns,Branded, 1/14 lrg slice,80,225,9,12,22,,,,,,,,
Pizza hut  Cheese Tortillas,,Pizza hut,Branded,1 serving,135,404.59,19.48,19.72,35.79,<0.1,,9.64,,1.2,,,
